(1) Matrix_Reasoning,(11) N-Back,(2) Modified_Token_Test_NEW,(3) Word Definitions,(4) Spelling_Test,(5) Verbal_Fluency,(7) Language_Production,(9) Recalling_Sentences,ds_backward,ds_forward,pop,id,age,education
18.0,25.0,34.0,27.0,11.0,,,63.0,5.0,9.0,dld,660462af12d1deceebf52ed3,27,Professional degree
15.0,35.0,4.0,31.0,8.0,,,56.0,3.0,9.0,td,6633ff088a92287249f6968c,25,Some college
17.0,80.0,30.0,34.0,13.0,,,60.0,5.0,10.0,dld,663e3cee91031227e894384a,26,Some college
17.0,52.5,35.0,14.0,9.0,,,0.0,0.0,0.0,td,66465b2522d14ab162ff2dbd,21,Some college
23.0,52.5,33.0,43.0,14.0,,,68.0,0.0,,dld,664fa6197cd2ac12ab45da27,22,4 year degree
23.0,77.5,37.0,38.0,8.0,,,51.0,9.0,12.0,td,6650ee988709a4266409c5f9,20,Some college
19.0,92.5,33.0,37.0,13.0,,,67.0,6.0,13.0,dld,665b242b9fe0782e4e8d2f0f,24,2 year degree
18.0,62.5,40.0,40.0,9.0,,,71.0,8.0,13.0,td,665b3f30f783306ae5987e27,22,4 year degree
18.0,95.0,30.0,25.0,11.0,,,7.0,3.0,14.0,dld,665c64f2f948d3e83dff8f62,24,Some college
25.0,100.0,37.0,42.0,14.0,,,69.0,6.0,13.0,dld,665cdc9e86e39a9d3072303d,25,4 year degree
16.0,45.0,18.0,34.0,10.0,,,47.0,4.0,7.0,dld,6661e08115e817751ecbffd6,25,Professional degree
23.0,95.0,31.0,43.0,11.0,,,55.0,7.0,12.0,td,6667857039e0002ee5bb270e,28,4 year degree
21.0,20.0,26.0,27.0,12.0,,,32.0,,,dld,66749620127640d87c5804f4,23,High school graduate
25.0,100.0,35.0,37.0,8.0,,,54.0,9.0,8.0,td,6676fab6295042ff191ead64,28,Doctorate
9.0,0.0,29.0,33.0,8.0,,,49.0,1.0,,dld,6689408630ac864c8da58e9b,25,High school graduate
19.0,90.0,34.0,37.0,12.0,,,69.0,6.0,11.0,dld,668c821b1bbf383ee00a01ed,27,Less than high school
23.0,0.0,22.0,36.0,10.0,,,45.0,7.0,8.0,td,669284eabea5b8c9655927da,26,High school graduate
25.0,92.5,40.0,39.0,11.0,,,59.0,9.0,10.0,td,6695541a6e0d986b02c25dd9,24,High school graduate
21.0,85.0,29.0,37.0,6.0,,,40.0,5.0,9.0,td,66a02d45a7db35d93c9f6a81,26,2 year degree
27.0,0.0,38.0,41.0,13.0,,,69.0,,,dld,66a2999783b434f7f5901257,28,High school graduate
19.0,60.0,34.0,26.0,10.0,,,22.0,10.0,8.0,td,66a6a854015a7ecc6e178e83,22,4 year degree
21.0,89.9999999999999,35.0,24.0,12.0,,,34.0,9.0,10.0,td,66a97b82d92cfcb73271ff9a,24,High school graduate
22.0,42.5,31.0,20.0,11.0,,,64.0,6.0,11.0,td,66b52ee2307a325d8d68fe68,21,Some college
19.0,0.0,37.0,40.0,3.0,,,68.0,5.0,10.0,dld,66c4b9e461ac3958e4cfaaa6,27,2 year degree
17.0,40.0,27.0,37.0,10.0,,,52.0,10.0,14.0,td,66c8f4c85434e33b086cb7ca,26,High school graduate
21.0,77.5,34.0,35.0,11.0,,,44.0,3.0,11.0,dld,66ca880d47c758104d0f0828,24,Some college
23.0,50.0,25.0,36.0,1.0,,,46.0,0.0,,dld,66cf44875112e6b051a87dd8,23,High school graduate
14.0,62.5,21.0,0.0,8.0,,,0.0,7.0,1.0,dld,66d6167357ca2076851f0e37,19,High school graduate
24.0,90.0,34.0,25.0,12.0,,,63.0,7.0,13.0,td,66dc6a84045c49214a18285f,20,Some college
23.0,15.0,24.0,23.0,9.0,,,42.0,8.0,0.0,td,66deeccfa4a8c62e75e0a557,26,4 year degree
24.0,0.0,29.0,30.0,10.0,,,42.0,6.0,9.0,dld,66e424b310a4bcf7a4a70c04,22,Some college
21.0,80.0,34.0,40.0,12.0,,,63.0,8.0,13.0,dld,66ef465b7cd1704ec292e384,21,Some college
18.0,30.0,21.0,0.0,4.0,,,0.0,0.0,2.0,td,6704aaad38d6cca3e2221270,24,High school graduate
21.0,-20.0,36.0,45.0,13.0,,,53.0,6.0,13.0,dld,6714006452400ecdc5f6b8e6,23,4 year degree
19.0,0.0,11.0,15.0,6.0,,,51.0,9.0,8.0,td,6714d7f42c208253099ac9d9,24,Some college
23.0,95.0,25.0,33.0,8.0,,,52.0,3.0,9.0,dld,6715129ec9c5aff7db36d7e7,22,High school graduate
22.0,87.5,26.0,23.0,7.0,,,42.0,10.0,11.0,td,67155947b83a6aee15acbc0d,28,4 year degree
20.0,54.9999999999999,13.0,27.0,10.0,,,58.0,5.0,8.0,td,67211fd3a095c49c7c2b2244,20,High school graduate
20.0,90.0,26.0,41.0,11.0,,,51.0,8.0,10.0,dld,67228eb9f3f694a42b636b7f,22,Some college
22.0,85.0,32.0,36.0,12.0,,,51.0,7.0,13.0,dld,6722e544617b4f90a6cbc061,24,Some college
18.0,0.0,27.0,34.0,10.0,,,71.0,5.0,13.0,td,672392ab18be8c6e1e33600c,18,Some college
23.0,100.0,43.0,38.0,13.0,,,68.0,11.0,11.0,td,672a3b3af4fe3ca8478cd6c6,21,Some college
22.0,32.5,24.0,8.0,13.0,,,9.0,3.0,9.0,td,672a6ed8d37a4143e096929b,22,4 year degree
21.0,70.0,29.0,31.0,14.0,,,63.0,7.0,8.0,td,672bf6a8b306f66878d7d5ff,23,Some college
23.0,52.5,29.0,36.0,8.0,,,65.0,4.0,8.0,dld,672e893282c5078f8e51ff28,25,4 year degree
24.0,54.9999999999999,31.0,38.0,4.0,,,61.0,6.0,7.0,dld,672f5f3ace8f7b625a4ac118,28,High school graduate
,97.5,22.0,37.0,2.0,,,61.0,1.0,,dld,673047368040622c8f6e745c,25,High school graduate
23.0,100.0,32.0,39.0,11.0,,,55.0,6.0,8.0,td,6732ab9b8627904cc6a8a524,25,4 year degree
16.0,32.4999999999999,19.0,29.0,13.0,,,23.0,12.0,15.0,dld,6735b2a6112cf17b7b8df8d1,19,High school graduate
18.0,82.5,31.0,0.0,13.0,,,0.0,0.0,9.0,td,673b4532dad611895a16ae00,25,4 year degree
16.0,7.5,17.0,24.0,1.0,,,43.0,6.0,6.0,dld,673fd13b06d7779a0f3965db,19,High school graduate
25.0,95.0,39.0,34.0,12.0,,,59.0,9.0,10.0,dld,674665004084064b14f073cf,22,4 year degree
7.0,72.5,37.0,38.0,7.0,,,61.0,4.0,6.0,dld,674f466deee531c5431cc876,27,Professional degree
21.0,70.0,40.0,35.0,,,,60.0,11.0,11.0,dld,6752b6162b3b7cf8885c1939,19,Some college
24.0,100.0,37.0,40.0,13.0,,,,13.0,12.0,dld,6753e135a4e95d19fbd41579,20,Some college
18.0,27.5,26.0,18.0,5.0,,,37.0,4.0,9.0,dld,675a2864cf3d9d870639c42b,25,4 year degree
21.0,40.0,21.0,0.0,8.0,,,0.0,0.0,0.0,td,675c554e2c544f458ceac523,25,4 year degree
17.0,90.0,33.0,34.0,9.0,,,62.0,8.0,13.0,td,675c98d1c5cd2106ffd74570,23,Some college
24.0,100.0,42.0,35.0,8.0,,,66.0,4.0,15.0,td,675f58e13946fe2bb772e10d,23,High school graduate
18.0,65.0,29.0,8.0,6.0,,,27.0,12.0,14.0,td,6761a5e9b291620a583e3042,25,4 year degree
24.0,90.0,36.0,37.0,12.0,,,57.0,6.0,8.0,dld,6761e9f88b9ec3f7f3d16c01,21,High school graduate
13.0,55.0,16.0,26.0,4.0,,,,7.0,8.0,td,6763dfaa1cbc80088e83468b,24,4 year degree
7.0,62.5,20.0,23.0,2.0,,,41.0,2.0,3.0,dld,676de533c5041323e498f0d7,19,High school graduate
21.0,95.0,34.0,31.0,4.0,,,58.0,4.0,12.0,dld,6778aac1a8701aba0b49de1b,21,4 year degree
18.0,72.5,34.0,42.0,12.0,,,53.0,8.0,13.0,td,6779f9e5ba9a9ab258410801,21,Some college
22.0,97.5,26.0,31.0,10.0,,,55.0,6.0,11.0,dld,67804bf16b510a1a193ada1f,21,4 year degree
5.0,0.0,26.0,29.0,11.0,,,66.0,3.0,11.0,dld,67848b778136ac4651ec8106,20,High school graduate
20.0,87.5,38.0,29.0,8.0,,,61.0,6.0,11.0,dld,67851d1c53731845ce16f506,20,Some college
18.0,92.5,33.0,29.0,7.0,,,60.0,8.0,10.0,dld,67855433b7f505ff545a34d3,19,Some college
24.0,87.5,39.0,38.0,11.0,,,66.0,8.0,11.0,dld,67857f6e4738df243094abdd,19,Some college
9.0,52.5,27.0,26.0,7.0,,,54.0,4.0,8.0,td,6787d695dd6a23ef8e7d8bb6,22,High school graduate
20.0,0.0,33.0,37.0,3.0,,,62.0,4.0,13.0,dld,6789b046961fcf908d886644,27,Some college
23.0,92.5,44.0,37.0,13.0,,,50.0,8.0,10.0,td,678c03d4aaebc0932a8d70b7,23,4 year degree
24.0,95.0,25.0,31.0,11.0,,,52.0,4.0,8.0,dld,678fc09cc90418dc46e9521c,18,High school graduate
13.0,37.5,21.0,34.0,9.0,,,55.0,4.0,9.0,dld,678ffaadd2a9bbb0e63dd117,28,Doctorate
25.0,75.0,33.0,36.0,11.0,,,67.0,6.0,9.0,dld,67901980b1183615d5c69689,26,Some college
23.0,72.5,27.0,27.0,12.0,,,41.0,6.0,12.0,td,6790328489cfa2445155e651,25,2 year degree
27.0,95.0,34.0,42.0,13.0,,,66.0,8.0,15.0,td,6791337a984fa58bf2ff4119,27,Professional degree
18.0,25.0,38.0,42.0,13.0,,,71.0,11.0,14.0,dld,67915007d6208ae2bf005724,25,Some college
15.0,55.0,21.0,26.0,11.0,,,48.0,3.0,9.0,td,67a383816ed9a52b8b47f6ff,28,Some college
21.0,92.5,26.0,35.0,12.0,,,64.0,5.0,9.0,dld,67a51a934972371768031b42,22,Some college
20.0,60.0,28.0,,13.0,,,15.0,7.0,10.0,td,67a8dc830a549478cd3616f5,25,Professional degree
25.0,85.0,38.0,31.0,10.0,,,58.0,4.0,8.0,td,67abadae1c6d8443b84ce687,28,2 year degree
20.0,95.0,33.0,41.0,14.0,,,69.0,9.0,15.0,td,67abc93046ee894d0a8fba3b,26,4 year degree
22.0,100.0,27.0,36.0,8.0,,,66.0,10.0,7.0,td,67abec3fcd49071d4087f87f,19,Some college
22.0,82.5,29.0,27.0,8.0,,,59.0,6.0,9.0,td,67ac208a1c6d8443b84cf998,22,High school graduate
17.0,72.5,31.0,19.0,6.0,,,55.0,7.0,8.0,dld,67ac9a33705bcf8912548fca,24,High school graduate
20.0,67.5,30.0,37.0,9.0,,,63.0,11.0,10.0,td,67acedc1ca320fb054920d13,26,4 year degree
23.0,95.0,35.0,40.0,11.0,,,69.0,6.0,14.0,td,67acfa2dcc3b9cdb55cc5519,27,Professional degree
22.0,55.0,38.0,23.0,7.0,,,27.0,5.0,10.0,dld,67acff9270a7fdbb02f3fc29,25,High school graduate
